,Manufacturer,Permit Number,DATE,VIN NUMBER,"VEHICLE IS CAPABLE OF OPERATING WITHOUT A DRIVER
(Yes or No)","DRIVER PRESENT
(Yes or No)","DISENGAGEMENT INITIATED BY
(AV System, Test Driver, Remote Operator, or Passenger)","DISENGAGEMENT
LOCATION
(Interstate, Freeway, Highway, Rural Road, Street, or Parking Facility)",DESCRIPTION OF FACTS CAUSING DISENGAGEMENT
1917,APPLE INC.,AVT030,4/11/2023,2T2BGMCA2GC007754,No,Yes,Test Driver,Freeway,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
1918,APPLE INC.,AVT030,4/11/2023,2T2BGMCA0HC015899,No,Yes,Test Driver,Freeway,A discrepancy in the onboard map쟲esulted in a motion plan requiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle.
1919,APPLE INC.,AVT030,4/11/2023,2T2BGMCA9GC007394,No,Yes,Test Driver,Interstate,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
1920,APPLE INC.,AVT030,4/11/2023,2T2BGMCA2GC007754,No,Yes,Test Driver,Interstate,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
1921,APPLE INC.,AVT030,4/13/2023,2T2BGMCA9GC007394,No,Yes,Test Driver,Freeway,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
1922,APPLE INC.,AVT030,4/13/2023,2T2BGMCA3HC020062,No,Yes,Test Driver,Freeway,A discrepancy in the onboard map쟲esulted in a motion plan requiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle.
1923,APPLE INC.,AVT030,4/13/2023,2T2BGMCA0HC015899,No,Yes,Test Driver,Interstate,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
1924,APPLE INC.,AVT030,4/13/2023,2T2BGMCA9GC007394,No,Yes,Test Driver,Interstate,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
1925,APPLE INC.,AVT030,4/14/2023,2T2BGMCA9GC007394,No,Yes,Test Driver,Freeway,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
1926,APPLE INC.,AVT030,4/14/2023,2T2BGMCA8GC007371,No,Yes,AV System,Interstate,The ADS initiated a disengagement쟡ue to a diagnosed issue with the motion plan. 쟕he Safety잻river was able to safely take control of the vehicle.
1927,APPLE INC.,AVT030,4/14/2023,2T2BGMCA9GC007394,No,Yes,Test Driver,Interstate,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
1928,APPLE INC.,AVT030,4/17/2023,2T2BGMCA0GC007946,No,Yes,AV System,Freeway,The ADS initiated a disengagement쟡ue to a diagnosed hardware issue. 쟕he Safety잻river was able to safely take control of the vehicle.
1929,APPLE INC.,AVT030,4/17/2023,2T2BGMCA3GC007911,No,Yes,AV System,Freeway,The ADS initiated a disengagement쟡ue to a diagnosed hardware issue. 쟕he Safety잻river was able to safely take control of the vehicle.
1930,APPLE INC.,AVT030,4/17/2023,2T2BGMCA3GC007911,No,Yes,AV System,Freeway,The ADS initiated a disengagement쟡ue to a diagnosed issue with the motion plan. 쟕he Safety잻river was able to safely take control of the vehicle.
1931,APPLE INC.,AVT030,4/17/2023,2T2BGMCA3GC007911,No,Yes,AV System,Freeway,The ADS initiated a disengagement쟡ue to a diagnosed issue with the motion plan. 쟕he Safety잻river was able to safely take control of the vehicle.
1932,APPLE INC.,AVT030,4/17/2023,2T2BGMCA2GC007754,No,Yes,Test Driver,Freeway,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
1933,APPLE INC.,AVT030,4/17/2023,2T2BGMCA2GC007754,No,Yes,AV System,Interstate,The ADS initiated a disengagement쟡ue to a diagnosed hardware issue. 쟕he Safety잻river was able to safely take control of the vehicle.
1934,APPLE INC.,AVT030,4/17/2023,2T2BGMCA2GC007754,No,Yes,AV System,Interstate,The ADS initiated a disengagement쟡ue to a diagnosed hardware issue. 쟕he Safety잻river was able to safely take control of the vehicle.
1935,APPLE INC.,AVT030,4/17/2023,2T2BGMCA9GC007394,No,Yes,AV System,Interstate,The ADS initiated a disengagement쟡ue to a diagnosed issue with the motion plan. 쟕he Safety잻river was able to safely take control of the vehicle.
1936,APPLE INC.,AVT030,4/17/2023,2T2BGMCA4HC016912,No,Yes,Test Driver,Interstate,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
1937,APPLE INC.,AVT030,4/17/2023,2T2BGMCA9GC007394,No,Yes,Test Driver,Interstate,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
1938,APPLE INC.,AVT030,4/17/2023,2T2BGMCA4HC016912,No,Yes,Test Driver,Interstate,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
1939,APPLE INC.,AVT030,4/18/2023,2T2BGMCA3HC020062,No,Yes,AV System,Freeway,The ADS initiated a disengagement쟡ue to a diagnosed issue with the motion plan. 쟕he Safety잻river was able to safely take control of the vehicle.
1940,APPLE INC.,AVT030,4/18/2023,2T2BGMCA3GC007911,No,Yes,AV System,Freeway,The ADS initiated a disengagement쟡ue to a diagnosed issue with the motion plan. 쟕he Safety잻river was able to safely take control of the vehicle.
1941,APPLE INC.,AVT030,4/18/2023,2T2BGMCA3GC007911,No,Yes,Test Driver,Freeway,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
1942,APPLE INC.,AVT030,4/18/2023,2T2BGMCA2GC007754,No,Yes,Test Driver,Freeway,"The ADS쟧ncorrectly perceived an element쟧n the surrounding environment, which resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
1943,APPLE INC.,AVT030,4/18/2023,2T2BGMCA2GC007754,No,Yes,Test Driver,Freeway,"The ADS쟧ncorrectly perceived an element쟧n the surrounding environment, which resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
1944,APPLE INC.,AVT030,4/19/2023,2T2BGMCA3HC014584,No,Yes,AV System,Freeway,The ADS initiated a disengagement쟡ue to a diagnosed hardware issue. 쟕he Safety잻river was able to safely take control of the vehicle.
1945,APPLE INC.,AVT030,4/19/2023,2T2BGMCA2GC007754,No,Yes,Test Driver,Freeway,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
1946,APPLE INC.,AVT030,4/19/2023,2T2BGMCA3HC020062,No,Yes,AV System,Interstate,The ADS initiated a disengagement쟡ue to a diagnosed hardware issue. 쟕he Safety잻river was able to safely take control of the vehicle.
1947,APPLE INC.,AVT030,4/20/2023,2T2BGMCA8HC016136,No,Yes,AV System,Freeway,The ADS initiated a disengagement쟡ue to a diagnosed hardware issue. 쟕he Safety잻river was able to safely take control of the vehicle.
1948,APPLE INC.,AVT030,4/20/2023,2T2BGMCA5HC014389,No,Yes,Test Driver,Freeway,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
1949,APPLE INC.,AVT030,4/20/2023,2T2BGMCAXHC018082,No,Yes,Test Driver,Freeway,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
1950,APPLE INC.,AVT030,4/20/2023,2T2BGMCA3HC020062,No,Yes,Test Driver,Freeway,A discrepancy in the onboard map쟲esulted in a motion plan requiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle.
1951,APPLE INC.,AVT030,4/20/2023,2T2BGMCA3GC007911,No,Yes,Test Driver,Interstate,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
1952,APPLE INC.,AVT030,4/20/2023,2T2BGMCA4HC016912,No,Yes,Test Driver,Interstate,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
1953,APPLE INC.,AVT030,4/20/2023,2T2BGMCA8HC016136,No,Yes,Test Driver,Interstate,A discrepancy in the onboard map쟲esulted in a motion plan requiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle.
1954,APPLE INC.,AVT030,4/20/2023,2T2BGMCA8HC016136,No,Yes,Test Driver,Interstate,A discrepancy in the onboard map쟲esulted in a motion plan requiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle.
1955,APPLE INC.,AVT030,4/21/2023,2T2BGMCA3GC007911,No,Yes,AV System,Freeway,The ADS initiated a disengagement쟡ue to a diagnosed issue with the motion plan. 쟕he Safety잻river was able to safely take control of the vehicle.
1956,APPLE INC.,AVT030,4/21/2023,2T2BGMCAXHC018082,No,Yes,Test Driver,Freeway,"The ADS generated a motion쟰lan that쟷ould have placed쟴he vehicle in an incorrect location on the roadway, requiring the Safety Driver to disengage. 쟕he Safety잻river was able to safely take control of the vehicle."
1957,APPLE INC.,AVT030,4/21/2023,2T2BGMCA4HC016912,No,Yes,Test Driver,Freeway,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
1958,APPLE INC.,AVT030,4/21/2023,2T2BGMCA2GC007754,No,Yes,Test Driver,Freeway,A discrepancy in the onboard map쟲esulted in a motion plan requiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle.
1959,APPLE INC.,AVT030,4/21/2023,2T2BGMCA8HC016136,No,Yes,Test Driver,Interstate,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
1960,APPLE INC.,AVT030,4/21/2023,2T2BGMCA5HC014389,No,Yes,Test Driver,Interstate,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
1961,APPLE INC.,AVT030,4/24/2023,2T2BGMCA4HC016912,No,Yes,AV System,Freeway,The ADS initiated a disengagement쟡ue to a diagnosed hardware issue. 쟕he Safety잻river was able to safely take control of the vehicle.
1962,APPLE INC.,AVT030,4/24/2023,2T2BGMCA3HC020062,No,Yes,Test Driver,Freeway,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
1963,APPLE INC.,AVT030,4/24/2023,2T2BGMCA5HC014389,No,Yes,Test Driver,Freeway,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
1964,APPLE INC.,AVT030,4/24/2023,2T2BGMCAXHC018082,No,Yes,Test Driver,Freeway,A discrepancy in the onboard map쟲esulted in a motion plan requiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle.
1965,APPLE INC.,AVT030,4/24/2023,2T2BGMCA2GC007754,No,Yes,Test Driver,Freeway,A discrepancy in the onboard map쟲esulted in a motion plan requiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle.
1966,APPLE INC.,AVT030,4/24/2023,2T2BGMCA5HC014389,No,Yes,Test Driver,Interstate,"The ADS쟡eveloped a motion plan to remain stationary, requiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
1967,APPLE INC.,AVT030,4/24/2023,2T2BGMCA3HC020062,No,Yes,Test Driver,Interstate,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
1968,APPLE INC.,AVT030,4/24/2023,2T2BGMCAXHC018082,No,Yes,Test Driver,Interstate,A discrepancy in the onboard map쟲esulted in a motion plan requiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle.
1969,APPLE INC.,AVT030,4/24/2023,2T2BGMCA3HC020062,No,Yes,Test Driver,Interstate,A discrepancy in the onboard map쟲esulted in a motion plan requiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle.
1970,APPLE INC.,AVT030,4/25/2023,2T2BGMCA5HC014389,No,Yes,AV System,Freeway,The ADS initiated a disengagement쟡ue to a diagnosed hardware issue. 쟕he Safety잻river was able to safely take control of the vehicle.
1971,APPLE INC.,AVT030,4/25/2023,2T2BGMCA0GC007946,No,Yes,Test Driver,Freeway,"The ADS generated a motion쟰lan that쟷ould have placed쟴he vehicle in an incorrect location on the roadway, requiring the Safety Driver to disengage. 쟕he Safety잻river was able to safely take control of the vehicle."
1972,APPLE INC.,AVT030,4/25/2023,2T2BGMCA2GC007754,No,Yes,Test Driver,Freeway,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
1973,APPLE INC.,AVT030,4/25/2023,2T2BGMCA5HC014389,No,Yes,Test Driver,Freeway,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
1974,APPLE INC.,AVT030,4/25/2023,2T2BGMCA6HC019228,No,Yes,Test Driver,Freeway,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
1975,APPLE INC.,AVT030,4/25/2023,2T2BGMCA0HC019709,No,Yes,Test Driver,Freeway,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
1976,APPLE INC.,AVT030,4/25/2023,2T2BGMCA0GC007946,No,Yes,Test Driver,Interstate,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
1977,APPLE INC.,AVT030,4/25/2023,2T2BGMCA3HC020062,No,Yes,Test Driver,Interstate,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
1978,APPLE INC.,AVT030,4/25/2023,2T2BGMCA0HC019709,No,Yes,Test Driver,Interstate,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
1979,APPLE INC.,AVT030,4/26/2023,2T2BGMCA5HC014389,No,Yes,AV System,Freeway,The ADS initiated a disengagement쟡ue to a diagnosed issue with the motion plan. 쟕he Safety잻river was able to safely take control of the vehicle.
1980,APPLE INC.,AVT030,4/26/2023,2T2BGMCA5HC014389,No,Yes,AV System,Freeway,The ADS initiated a disengagement쟡ue to a diagnosed issue with the motion plan. 쟕he Safety잻river was able to safely take control of the vehicle.
1981,APPLE INC.,AVT030,4/26/2023,2T2BGMCA3GC007911,No,Yes,Test Driver,Freeway,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
1982,APPLE INC.,AVT030,4/26/2023,2T2BGMCA0HC019709,No,Yes,Test Driver,Freeway,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
1983,APPLE INC.,AVT030,4/26/2023,2T2BGMCA6HC019228,No,Yes,Test Driver,Freeway,A discrepancy in the onboard map쟲esulted in a motion plan requiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle.
1984,APPLE INC.,AVT030,4/26/2023,2T2BGMCA5HC014389,No,Yes,Test Driver,Interstate,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
1985,APPLE INC.,AVT030,4/26/2023,2T2BGMCA3HC020062,No,Yes,Test Driver,Interstate,A discrepancy in the onboard map쟲esulted in a motion plan requiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle.
1986,APPLE INC.,AVT030,4/27/2023,2T2BGMCA3HC020062,No,Yes,AV System,Freeway,The ADS initiated a disengagement쟡ue to a diagnosed issue with the motion plan. 쟕he Safety잻river was able to safely take control of the vehicle.
1987,APPLE INC.,AVT030,4/27/2023,2T2BGMCA2GC007754,No,Yes,Test Driver,Freeway,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
1988,APPLE INC.,AVT030,4/27/2023,2T2BGMCA5HC014389,No,Yes,Test Driver,Freeway,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
1989,APPLE INC.,AVT030,4/27/2023,2T2BGMCA5HC014389,No,Yes,Test Driver,Freeway,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
1990,APPLE INC.,AVT030,4/27/2023,2T2BGMCA2GC007754,No,Yes,Test Driver,Freeway,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
1991,APPLE INC.,AVT030,4/27/2023,2T2BGMCA5HC014389,No,Yes,Test Driver,Freeway,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
1992,APPLE INC.,AVT030,4/27/2023,2T2BGMCA0HC019709,No,Yes,Test Driver,Interstate,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
1993,APPLE INC.,AVT030,4/28/2023,2T2BGMCA0HC019709,No,Yes,AV System,Freeway,The ADS initiated a disengagement쟡ue to a diagnosed issue with the motion plan. 쟕he Safety잻river was able to safely take control of the vehicle.
1994,APPLE INC.,AVT030,5/2/2023,2T2BGMCA0HC019225,No,Yes,AV System,Freeway,The ADS initiated a disengagement쟡ue to a diagnosed hardware issue. 쟕he Safety잻river was able to safely take control of the vehicle.
1995,APPLE INC.,AVT030,5/2/2023,2T2BGMCA3HC020062,No,Yes,AV System,Freeway,The ADS initiated a disengagement쟡ue to a diagnosed issue with the motion plan. 쟕he Safety잻river was able to safely take control of the vehicle.
1996,APPLE INC.,AVT030,5/2/2023,2T2BGMCA3HC020062,No,Yes,AV System,Freeway,The ADS initiated a disengagement쟡ue to a diagnosed issue with the motion plan. 쟕he Safety잻river was able to safely take control of the vehicle.
1997,APPLE INC.,AVT030,5/2/2023,2T2BGMCA4HC016912,No,Yes,Test Driver,Freeway,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
1998,APPLE INC.,AVT030,5/2/2023,2T2BGMCA3HC020062,No,Yes,Test Driver,Freeway,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
1999,APPLE INC.,AVT030,5/2/2023,2T2BGMCA0HC019225,No,Yes,AV System,Interstate,The ADS initiated a disengagement쟡ue to a diagnosed hardware issue. 쟕he Safety잻river was able to safely take control of the vehicle.
2000,APPLE INC.,AVT030,5/2/2023,2T2BGMCA0HC019225,No,Yes,AV System,Interstate,The ADS initiated a disengagement쟡ue to a diagnosed hardware issue. 쟕he Safety잻river was able to safely take control of the vehicle.
2001,APPLE INC.,AVT030,5/2/2023,2T2BGMCAXHC018082,No,Yes,AV System,Interstate,The ADS initiated a disengagement쟡ue to a diagnosed hardware issue. 쟕he Safety잻river was able to safely take control of the vehicle.
2002,APPLE INC.,AVT030,5/2/2023,2T2BGMCA0HC019919,No,Yes,Test Driver,Interstate,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
2003,APPLE INC.,AVT030,5/2/2023,2T2BGMCA0HC019919,No,Yes,Test Driver,Interstate,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
2004,APPLE INC.,AVT030,5/3/2023,2T2BGMCA6HC019228,No,Yes,AV System,Freeway,The ADS initiated a disengagement쟡ue to a diagnosed issue with the motion plan. 쟕he Safety잻river was able to safely take control of the vehicle.
2005,APPLE INC.,AVT030,5/3/2023,2T2BGMCA2GC007754,No,Yes,Test Driver,Freeway,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
2006,APPLE INC.,AVT030,5/3/2023,2T2BGMCA3HC020062,No,Yes,Test Driver,Freeway,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
2007,APPLE INC.,AVT030,5/3/2023,2T2BGMCA3HC020062,No,Yes,Test Driver,Freeway,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
2008,APPLE INC.,AVT030,5/3/2023,2T2BGMCA3HC020062,No,Yes,Test Driver,Freeway,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
2009,APPLE INC.,AVT030,5/3/2023,2T2BGMCA3HC020062,No,Yes,Test Driver,Freeway,"The ADS쟧ncorrectly perceived an element쟧n the surrounding environment, which resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
2010,APPLE INC.,AVT030,5/3/2023,2T2BGMCA3HC020062,No,Yes,Test Driver,Freeway,"The test vehicle sensor field of view was쟯bstructed,쟰reventing the adequate perception of쟴he surrounding environment and쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
2011,APPLE INC.,AVT030,5/3/2023,2T2BGMCA0HC019225,No,Yes,AV System,Interstate,The ADS initiated a disengagement쟡ue to a diagnosed hardware issue. 쟕he Safety잻river was able to safely take control of the vehicle.
2012,APPLE INC.,AVT030,5/3/2023,2T2BGMCA0HC019225,No,Yes,AV System,Interstate,The ADS initiated a disengagement쟡ue to a diagnosed hardware issue. 쟕he Safety잻river was able to safely take control of the vehicle.
2013,APPLE INC.,AVT030,5/3/2023,2T2BGMCA0HC019225,No,Yes,AV System,Interstate,The ADS initiated a disengagement쟡ue to a diagnosed hardware issue. 쟕he Safety잻river was able to safely take control of the vehicle.
2014,APPLE INC.,AVT030,5/3/2023,2T2BGMCA0HC019225,No,Yes,AV System,Interstate,The ADS initiated a disengagement쟡ue to a diagnosed hardware issue. 쟕he Safety잻river was able to safely take control of the vehicle.
2015,APPLE INC.,AVT030,5/3/2023,2T2BGMCA6HC019228,No,Yes,Test Driver,Interstate,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
2016,APPLE INC.,AVT030,5/3/2023,2T2BGMCA5HC014389,No,Yes,Test Driver,Interstate,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
2017,APPLE INC.,AVT030,5/3/2023,2T2BGMCA0HC019919,No,Yes,Test Driver,Interstate,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
2018,APPLE INC.,AVT030,5/3/2023,2T2BGMCA2GC007754,No,Yes,Test Driver,Interstate,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
2019,APPLE INC.,AVT030,5/3/2023,2T2BGMCA2GC007754,No,Yes,Test Driver,Interstate,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
2020,APPLE INC.,AVT030,5/3/2023,2T2BGMCA6HC019228,No,Yes,Test Driver,Interstate,A discrepancy in the onboard map쟲esulted in a motion plan requiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle.
2021,APPLE INC.,AVT030,5/4/2023,2T2BGMCA0HC019225,No,Yes,AV System,Freeway,The ADS initiated a disengagement쟡ue to a diagnosed hardware issue. 쟕he Safety잻river was able to safely take control of the vehicle.
2022,APPLE INC.,AVT030,5/4/2023,2T2BGMCA0HC019225,No,Yes,AV System,Freeway,The ADS initiated a disengagement쟡ue to a diagnosed hardware issue. 쟕he Safety잻river was able to safely take control of the vehicle.
2023,APPLE INC.,AVT030,5/4/2023,2T2BGMCA0HC019225,No,Yes,AV System,Freeway,The ADS initiated a disengagement쟡ue to a diagnosed hardware issue. 쟕he Safety잻river was able to safely take control of the vehicle.
2024,APPLE INC.,AVT030,5/4/2023,2T2BGMCA3HC020062,No,Yes,AV System,Freeway,The ADS initiated a disengagement쟡ue to a diagnosed issue with the motion plan. 쟕he Safety잻river was able to safely take control of the vehicle.
2025,APPLE INC.,AVT030,5/4/2023,2T2BGMCA0HC019919,No,Yes,AV System,Freeway,The ADS initiated a disengagement쟡ue to a diagnosed issue with the motion plan. 쟕he Safety잻river was able to safely take control of the vehicle.
2026,APPLE INC.,AVT030,5/4/2023,2T2BGMCA8GC003871,No,Yes,AV System,Freeway,The ADS initiated a disengagement쟡ue to a diagnosed issue with the motion plan. 쟕he Safety잻river was able to safely take control of the vehicle.
