,Manufacturer,year,preprocessed
2486,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2487,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2488,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2489,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2490,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2491,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2492,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2493,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2494,AE,23,test sensor field view obstructed preventing adequate perception surrounding requiring disengagement safety_driver
2495,AE,23,ads initiate disengagement diagnosed hardware
2496,AE,23,ads initiate disengagement diagnosed hardware
2497,AE,23,ads initiate disengagement diagnosed hardware
2498,AE,23,ads generated motion plan would placed improper location roadway requiring safety_driver disengage
2499,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2500,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2501,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2502,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2503,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2504,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2505,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2506,AE,23,ads initiate disengagement diagnosed hardware
2507,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2508,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2509,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2510,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2511,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2512,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2513,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2514,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2515,AE,23,ads initiate disengagement diagnosed hardware
2516,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2517,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2518,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2519,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2520,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2521,AE,23,discrepancy map motion plan requiring disengagement safety_driver
2522,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2523,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2524,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2525,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2526,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2527,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2528,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2529,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2530,AE,23,ads initiate disengagement diagnosed hardware
2531,AE,23,ads initiate disengagement diagnosed hardware
2532,AE,23,ads initiate disengagement diagnosed motion plan
2533,AE,23,ads generated motion plan would placed improper location roadway requiring safety_driver disengage
2534,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2535,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2536,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2537,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2538,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2539,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2540,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2541,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2542,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2543,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2544,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2545,AE,23,ads incorrectly perception element surrounding motion plan requiring disengagement safety_driver
2546,AE,23,test sensor field view obstructed preventing adequate perception surrounding requiring disengagement safety_driver
2547,AE,23,ads initiate disengagement diagnosed hardware
2548,AE,23,ads initiate disengagement diagnosed motion plan
2549,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2550,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2551,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2552,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2553,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2554,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2555,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2556,AE,23,ads initiate disengagement diagnosed hardware
2557,AE,23,ads initiate disengagement diagnosed hardware
2558,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2559,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2560,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2561,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2562,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2563,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2564,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2565,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2566,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2567,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2568,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2569,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2570,AE,23,discrepancy map motion plan requiring disengagement safety_driver
2571,AE,23,ads initiate disengagement diagnosed hardware
2572,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2573,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2574,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2575,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2576,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2577,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2578,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2579,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2580,AE,23,test sensor field view obstructed preventing adequate perception surrounding requiring disengagement safety_driver
2581,AE,23,ads initiate disengagement diagnosed hardware
2582,AE,23,ads initiate disengagement diagnosed hardware
2583,AE,23,ads initiate disengagement diagnosed hardware
2584,AE,23,ads initiate disengagement diagnosed hardware
2585,AE,23,ads initiate disengagement diagnosed hardware
2586,AE,23,ads initiate disengagement diagnosed hardware
2587,AE,23,ads initiate disengagement diagnosed hardware
2588,AE,23,ads initiate disengagement diagnosed hardware
2589,AE,23,ads initiate disengagement diagnosed hardware
2590,AE,23,ads initiate disengagement diagnosed hardware
2591,AE,23,ads generated motion plan would placed improper location roadway requiring safety_driver disengage
2592,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2593,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2594,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2595,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2596,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2597,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2598,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2599,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2600,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2601,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2602,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2603,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2604,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2605,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2606,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2607,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2608,AE,23,discrepancy map motion plan requiring disengagement safety_driver
2609,AE,23,discrepancy map motion plan requiring disengagement safety_driver
2610,AE,23,discrepancy map motion plan requiring disengagement safety_driver
2611,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2612,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2613,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2614,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2615,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2616,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2617,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2618,AE,23,discrepancy map motion plan requiring disengagement safety_driver
2619,AE,23,ads initiate disengagement diagnosed hardware
2620,AE,23,ads initiate disengagement diagnosed hardware
2621,AE,23,ads initiate disengagement diagnosed hardware
2622,AE,23,ads developed motion plan remain stationary requiring disengagement safety_driver
2623,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2624,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2625,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2626,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2627,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2628,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2629,AE,23,ads incorrectly perception element surrounding motion plan requiring disengagement safety_driver
2630,AE,23,ads incorrectly perception element surrounding motion plan requiring disengagement safety_driver
2631,AE,23,discrepancy map motion plan requiring disengagement safety_driver
2632,AE,23,discrepancy map motion plan requiring disengagement safety_driver
2633,AE,23,ads initiate disengagement diagnosed hardware
2634,AE,23,ads initiate disengagement diagnosed motion plan
2635,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2636,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2637,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2638,AE,23,test sensor field view obstructed preventing adequate perception surrounding requiring disengagement safety_driver
2639,AE,23,ads initiate disengagement diagnosed hardware
2640,AE,23,ads initiate disengagement diagnosed hardware
2641,AE,23,ads initiate disengagement diagnosed hardware
2642,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2643,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2644,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2645,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2646,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2647,AE,23,discrepancy map motion plan requiring disengagement safety_driver
2648,AE,23,ads initiate disengagement diagnosed hardware
2649,AE,23,ads initiate disengagement diagnosed hardware
2650,AE,23,ads initiate disengagement diagnosed hardware
2651,AE,23,ads initiate disengagement diagnosed hardware
2652,AE,23,ads initiate disengagement diagnosed hardware
2653,AE,23,ads generated motion plan would placed improper location roadway requiring safety_driver disengage
2654,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2655,AE,23,ads initiate disengagement diagnosed hardware
2656,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2657,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2658,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2659,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2660,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2661,AE,23,ads incorrectly perception element surrounding motion plan requiring disengagement safety_driver
2662,AE,23,ads initiate disengagement diagnosed hardware
2663,AE,23,ads generated motion plan would placed improper location roadway requiring safety_driver disengage
2664,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2665,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2666,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2667,AE,23,ads initiate disengagement diagnosed hardware
2668,AE,23,ads initiate disengagement diagnosed hardware
2669,AE,23,ads initiate disengagement diagnosed hardware
2670,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2671,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2672,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2673,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2674,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2675,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2676,AE,23,test sensor field view obstructed preventing adequate perception surrounding requiring disengagement safety_driver
2677,AE,23,ads initiate disengagement diagnosed hardware
2678,AE,23,ads initiate disengagement diagnosed hardware
2679,AE,23,ads initiate disengagement diagnosed hardware
2680,AE,23,ads initiate disengagement diagnosed hardware
2681,AE,23,ads initiate disengagement diagnosed hardware
2682,AE,23,ads initiate disengagement diagnosed hardware
2683,AE,23,ads initiate disengagement diagnosed hardware
2684,AE,23,ads initiate disengagement diagnosed motion plan
2685,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2686,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2687,AE,23,ads initiate disengagement diagnosed hardware
2688,AE,23,ads initiate disengagement diagnosed hardware
2689,AE,23,ads generated motion plan would placed improper location roadway requiring safety_driver disengage
2690,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2691,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2692,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2693,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2694,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2695,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2696,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2697,AE,23,discrepancy map motion plan requiring disengagement safety_driver
2698,AE,23,discrepancy map motion plan requiring disengagement safety_driver
2699,AE,23,ads initiate disengagement diagnosed hardware
2700,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2701,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2702,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2703,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2704,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2705,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2706,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2707,AE,23,ads incorrectly perception element surrounding motion plan requiring disengagement safety_driver
2708,AE,23,discrepancy map motion plan requiring disengagement safety_driver
2709,AE,23,ads initiate disengagement diagnosed hardware
2710,AE,23,ads initiate disengagement diagnosed hardware
2711,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2712,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2713,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2714,AE,23,ads initiate disengagement diagnosed hardware
2715,AE,23,ads initiate disengagement diagnosed motion plan
2716,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2717,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2718,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2719,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2720,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2721,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2722,AE,23,discrepancy map motion plan requiring disengagement safety_driver
2723,AE,23,discrepancy map motion plan requiring disengagement safety_driver
2724,AE,23,ads initiate disengagement diagnosed hardware
2725,AE,23,ads initiate disengagement diagnosed hardware
2726,AE,23,ads initiate disengagement diagnosed hardware
2727,AE,23,ads initiate disengagement diagnosed hardware
2728,AE,23,ads initiate disengagement diagnosed hardware
2729,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2730,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2731,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2732,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2733,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2734,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2735,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2736,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2737,AE,23,ads incorrectly perception element surrounding motion plan requiring disengagement safety_driver
2738,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2739,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2740,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2741,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2742,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2743,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2744,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2745,AE,23,ads incorrectly perception element surrounding motion plan requiring disengagement safety_driver
2746,AE,23,ads incorrectly perception element surrounding motion plan requiring disengagement safety_driver
2747,AE,23,ads initiate disengagement diagnosed hardware
2748,AE,23,discrepancy map motion plan requiring disengagement safety_driver
2749,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2750,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2751,AE,23,ads initiate disengagement diagnosed hardware
2752,AE,23,ads initiate disengagement diagnosed hardware
2753,AE,23,ads initiate disengagement diagnosed hardware
2754,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2755,AE,23,discrepancy map motion plan requiring disengagement safety_driver
2756,AE,23,ads initiate disengagement diagnosed hardware
2757,AE,23,ads initiate disengagement diagnosed motion plan
2758,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2759,AE,23,ads initiate disengagement diagnosed hardware
2760,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2761,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2762,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2763,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2764,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2765,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2766,AE,23,ads initiate disengagement diagnosed motion plan
2767,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2768,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2769,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2770,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2771,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2772,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2773,AE,23,ads incorrectly perception element surrounding motion plan requiring disengagement safety_driver
2774,AE,23,ads initiate disengagement diagnosed hardware
2775,AE,23,ads initiate disengagement diagnosed hardware
2776,AE,23,ads initiate disengagement diagnosed hardware
2777,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2778,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2779,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2780,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2781,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2782,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2783,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2784,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2785,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2786,AE,23,discrepancy map motion plan requiring disengagement safety_driver
2787,AE,23,ads initiate disengagement diagnosed hardware
2788,AE,23,ads initiate disengagement diagnosed hardware
2789,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2790,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2791,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2792,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2793,AE,23,discrepancy map motion plan requiring disengagement safety_driver
2794,AE,23,ads initiate disengagement diagnosed hardware
2795,AE,23,ads initiate disengagement diagnosed hardware
2796,AE,23,ads initiate disengagement diagnosed hardware
2797,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2798,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2799,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2800,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2801,AE,23,ads incorrectly perception element surrounding motion plan requiring disengagement safety_driver
2802,AE,23,ads initiate disengagement diagnosed hardware
2803,AE,23,ads initiate disengagement diagnosed hardware
2804,AE,23,ads initiate disengagement diagnosed hardware
2805,AE,23,ads initiate disengagement diagnosed motion plan
2806,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2807,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2808,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2809,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2810,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2811,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2812,AE,23,discrepancy map motion plan requiring disengagement safety_driver
2813,AE,23,ads initiate disengagement diagnosed hardware
2814,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2815,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2816,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2817,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2818,AE,23,discrepancy map motion plan requiring disengagement safety_driver
2819,AE,23,discrepancy map motion plan requiring disengagement safety_driver
2820,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2821,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2822,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2823,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2824,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2825,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2826,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2827,AE,23,ads incorrectly perception element surrounding motion plan requiring disengagement safety_driver
2828,AE,23,ads incorrectly perception element surrounding motion plan requiring disengagement safety_driver
2829,AE,23,ads initiate disengagement diagnosed hardware
2830,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2831,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2832,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2833,AE,23,discrepancy map motion plan requiring disengagement safety_driver
2834,AE,23,ads initiate disengagement diagnosed hardware
2835,AE,23,ads initiate disengagement diagnosed motion plan
2836,AE,23,ads developed motion plan remain stationary requiring disengagement safety_driver
2837,AE,23,ads generated motion plan would placed improper location roadway requiring safety_driver disengage
2838,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2839,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2840,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2841,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2842,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2843,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2844,AE,23,ads initiate disengagement diagnosed hardware
2845,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2846,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2847,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2848,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2849,AE,23,discrepancy map motion plan requiring disengagement safety_driver
2850,AE,23,discrepancy map motion plan requiring disengagement safety_driver
2851,AE,23,ads initiate disengagement diagnosed hardware
2852,AE,23,ads initiate disengagement diagnosed motion plan
2853,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2854,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2855,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2856,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2857,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2858,AE,23,ads generated motion plan would placed improper location roadway requiring safety_driver disengage
2859,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2860,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2861,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2862,AE,23,ads initiate disengagement diagnosed motion plan
2863,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2864,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2865,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2866,AE,23,ads initiate disengagement diagnosed hardware
2867,AE,23,ads initiate disengagement diagnosed hardware
2868,AE,23,ads initiate disengagement diagnosed hardware
2869,AE,23,ads initiate disengagement diagnosed hardware
2870,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2871,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2872,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2873,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2874,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2875,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2876,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2877,AE,23,ads incorrectly predict behavior road user motion plan requiring disengagement safety_driver
2878,AE,23,discrepancy map motion plan requiring disengagement safety_driver
2879,AE,23,ads initiate disengagement diagnosed hardware
2880,AE,23,ads initiate disengagement diagnosed hardware
