,Manufacturer,year,DESCRIPTION OF FACTS CAUSING DISENGAGEMENT,Label
14218,BD,22,Precautionary Takeover: Disengaged due to a vehicle platform software issue within the Autonomous Vehicle's (AV) controller interface sub-system,
7242,AU,22,"The SW couldnt perform the manuever safely eg.: possible lane departure, too aggressive lane change manuever. Root cause: lane detection issue. Conditions: Non-inclement weather, dry roads, no other factors involved.",
6593,AU,21,The test vehicle attepted to lane change to shoulder/express lane. Root cause:  lane detection or map issue.,
7177,AU,22,"The test vehicle could not perform the lane change into the exit lane or merge to highway and could not follow the planned route. Root cause: traffic situation. Conditions: Non-inclement weather, dry roads, no other factors involved.",
15080,AU,21,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved",
6941,AU,22,"Unnecessary lane change, the test vehicle did not follow the planned route. Root cause: Navigation/Localisation issue. Conditions: Non-inclement weather, dry roads, no other factors involved",
7219,AU,22,"During the lane change the test vehicle could have got too close to another vehicle in the target lane. Root cause:  object detection issue. Conditions: Non-inclement weather, dry roads, no other factors involved.",
6634,AU,22,"Unnecessary lane change, the test vehicle did not follow the planned route. Root cause: Navigation/Localisation issue. Conditions: Non-inclement weather, dry roads, no other factors involved",
6845,AU,22,"During the lane change the test vehicle could have got too close to another vehicle in the target lane. Root cause:  object detection issue. Conditions: Non-inclement weather, dry roads, no other factors involved.",
6963,AU,22,"During the lane change the test vehicle could have got too close to another vehicle in the target lane. Root cause:  object detection issue. Conditions: Non-inclement weather, dry roads, no other factors involved.",
15036,AU,21,"The software gave back control to the driver, due to a minor system error
Conditions: Non-inclement weather, dry roads, no other factors involved",
6681,AU,22,"The test vehicle could not perform the lane change into the exit lane or merge to highway and could not follow the planned route. Root cause: traffic situation. Conditions: Non-inclement weather, dry roads, no other factors involved.",
15028,AU,21,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",
6940,AU,22,"Another vehicle approaching target lane when the test vehicle inititated a lane change. Limitation in software. This was a case of two vehicles trying to occupy the same space in a lane. Our software has a limitation in that we do not (yet) cancel lane changes once it has been initiated; however, we do cancel lane changes if the software deems it unsafe prior to the actual maneuver. In this case we had already started the maneuver, therefore the driver had to take over. This isn’t a software bug, it’s a known issue that is being worked on. Conditions: Non-inclement weather, dry roads, no other factors involved.",
6887,AU,22,"Unnecessary lane change, the test vehicle did not follow the planned route. Root cause: Navigation/Localisation issue. Conditions: Non-inclement weather, dry roads, no other factors involved",
6601,AU,22,The test vehicle attepted to lane change to shoulder/express lane. Root cause:  lane detection or map issue.,
15107,AU,21,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved",
6755,AU,22,"The test vehicle could not perform the lane change into the exit lane or merge to highway and could not follow the planned route. Root cause: traffic situation. Conditions: Non-inclement weather, dry roads, no other factors involved.",
6900,AU,22,"The test vehicle could not perform the lane change into the exit lane or merge to highway and could not follow the planned route. Root cause: traffic situation. Conditions: Non-inclement weather, dry roads, no other factors involved.",
15073,AU,21,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved",
15018,AU,21,"During the lane change maneuvre a truck on the right lane wanted to make lane change into our lane
Conditions: Non-inclement weather, dry roads, no other factors involved",
13246,AV,22,Disengagement in response to a cyclist making contract with the AV. ,
15774,AV,21,Precautionary disengagement in response to other road user's non-compliant behavior*,
17665,BX,21,Prediction discrepancy; incorrect trajectory estimation of adjacent vehicle which attempted an illegal lane change,
17675,BX,21,Prediction discrepancy; incorrect trajectory estimation of vehicle driving through a junction,
17676,BX,21,Planning discrepancy; system planned incorrect trajectory due to oncoming vehicle illegally cutting into lane of traffic,
17666,BX,21,Prediction discrepancy; incorrect trajectory estimation of adjacent vehicle making an insufficiently wide right turn,
17677,BX,21,Planning and Prediction discrepancy; incorrect trajectory estimation of and planning based on detection of a parked vehicle,
17670,BX,21,Planning and Prediction discrepancy; incorrect trajectory estimation of and planning for vehicle making an insufficiently wide turn,
17671,BX,21,Prediction discrepancy; incorrect trajectory estimation of vehicle making an insufficiently wide turn,
17660,BX,21,Prediction discrepancy; incorrect trajectory estimation of vehicle entering into traffic junction,
17668,BX,21,Prediction discrepancy; incorrect trajectory estimation of adjacent vehicle during lane change maneuver,
17661,BX,21,Planning discrepancy; system planned incorrect trajectory based on position of adjacent vehicle,
17679,BX,21,Planning and Prediction discrepancy; incorrect trajectory estimation of and planning for a vehicle cutting into lane of traffic.,
17678,BX,21,Planning and Prediction discrepancy; incorrect trajectory estimation of and planning for vehicle making an insufficiently wide turn,
17673,BX,21,Prediction discrepancy; incorrect trajectory estimation based on adjacent vehicle avoiding another vehicle encroaching on its lane,
17659,BX,20,Planning and Prediction discrepancy; incorrect trajectory estimation of and planning for a vehicle cutting into lane of traffic,
17663,BX,21,Prediction discrepancy; incorrect trajectory estimation of vehicle making a illegal maneuver preceding straight from a left turn only lane,
17662,BX,21,Planning discrepancy; system planned incorrect trajectory based on position of adjacent vehicle,
17669,BX,21,Prediction discrepancy; incorrect trajectory estimation of adjacent vehicle making an insufficiently wide right turn,
17664,BX,21,Planning discrepancy; system planned incorrect yield at intersection due to an oncoming vehicle during right turn maneuver.,
17667,BX,21,Prediction discrepancy; incorrect trajectory estimation of adjacent vehicle during lane change maneuver,
17674,BX,21,Prediction discrepancy; incorrect trajectory estimation of vehicle while making a lane change maneuver,
4275,AI,22,Hardware discrepancy or system fault; On city road in light traffic with clear sky during day,
4276,AI,23,Hardware discrepancy or system fault; On city road in light traffic with clear sky during day,
18030,CF,20,The Test Driver chose to stop preemtively to let a pedestrian clear from the AV's path,
18114,CF,20,The Test Driver chose to stop preemtively to let another vehicle clear from the AV's path,
18152,CF,20,The Test Driver chose to stop preemtively to let a pedestrian clear from the AV's path,
18091,CF,20,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
18036,CF,20,The software detected an inanimate object in the AV's path and triggered an Estop,
18113,CF,20,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
18146,CF,20,The weather caused a lidar impact that the software interpereted as an obstacle and caused an Estop,
18075,CF,20,The Test Driver chose to stop preemtively to let another vehicle clear from the AV's path,
18055,CF,20,"A collision hazard in the environment ahead was detected by the software, which triggered an Estop",
18081,CF,20,The Test Driver chose to stop preemtively to let another vehicle clear from the AV's path,
18122,CF,20,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
18124,CF,20,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
18041,CF,20,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
18126,CF,20,The Test Driver chose to stop preemtively to let another vehicle clear from the AV's path,
18106,CF,20,The software detected a pedestrian in the AV's path and triggered an Estop,
18090,CF,20,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
18087,CF,20,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
18145,CF,20,"A collision hazard in the environment ahead was detected by the software, which triggered an Estop",
18141,CF,20,"A collision hazard in the environment ahead was detected by the software, which triggered an Estop",
18121,CF,20,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
16123,BT,21,Disengage for a perception discrepancy for which a component of the vehicle’s perception system failed to detect an object correctly,
16121,BT,21,Disengage for unwanted maneuver of the vehicle caused by a planning discrepancy while generating an appropriate trajectory,
16118,BT,21,Disengage for unwanted maneuver of the vehicle caused by a planning discrepancy while generating an appropriate trajectory,
16119,BT,21,Disengage for unwanted maneuver of the vehicle caused by a planning discrepancy while generating an appropriate trajectory,
16116,BT,21,Disengage for unwanted maneuver of the vehicle caused by a planning discrepancy while generating an appropriate trajectory,
16128,BT,21,Disengage for unwanted maneuver of the vehicle caused by a planning discrepancy while generating an appropriate trajectory,
16111,BT,21,Disengage for unwanted maneuver of the vehicle caused by a planning discrepancy while generating an appropriate trajectory,
16109,BT,21,Disengage for unwanted maneuver of the vehicle caused by a planning discrepancy while generating an appropriate trajectory,
16110,BT,21,Disengage for a perception discrepancy for which a component of the vehicle’s perception system failed to detect an object correctly,
16117,BT,21,Disengage for unwanted maneuver of the vehicle caused by a planning discrepancy while generating an appropriate trajectory,
16129,BT,21,Disengage for unwanted maneuver of the vehicle caused by a planning discrepancy while generating an appropriate trajectory,
16122,BT,21,Disengage for unwanted maneuver of the vehicle caused by a planning discrepancy while generating an appropriate trajectory,
16114,BT,21,Disengage for unwanted maneuver of the vehicle caused by a planning discrepancy while generating an appropriate trajectory,
16130,BT,21,Disengage for unwanted maneuver of the vehicle caused by a planning discrepancy while generating an appropriate trajectory,
16112,BT,21,Disengage for unwanted maneuver of the vehicle caused by a planning discrepancy while generating an appropriate trajectory,
16115,BT,21,Disengage for unwanted maneuver of the vehicle caused by a control discrepancy in delivering the planned trajectory to the vehicle’s controls system,
16127,BT,21,Disengage for unwanted maneuver of the vehicle caused by a planning discrepancy while generating an appropriate trajectory,
16120,BT,21,Disengage for unwanted maneuver of the vehicle caused by a planning discrepancy while generating an appropriate trajectory,
16124,BT,21,Disengage for unwanted maneuver of the vehicle caused by a planning discrepancy while generating an appropriate trajectory,
16125,BT,21,Disengage for unwanted maneuver of the vehicle caused by a planning discrepancy while generating an appropriate trajectory,
17704,BY,20,Software Module fault due to system latency,
17690,BY,20,Software Module fault due to system latency,
17694,BY,20,Planning Module Failure due to software issue,
17706,BY,20,Software Module fault due to system latency,
17697,BY,20,Software Module fault due to system latency,
17686,BY,20,Software Module fault due to system latency,
17700,BY,20,Planning Discrepancy: Failure to yield to other actors,
17695,BY,20,Planning Module Failure due to software issue,
17696,BY,20,Software Module fault due to system latency,
17710,BY,20,Software Module fault due to system latency,
17684,BY,20,Software Module fault due to system latency,
17689,BY,20,Software Module fault due to system latency,
17701,BY,20,Software Module fault due to system latency,
17685,BY,20,Software Module fault due to system latency,
17698,BY,20,Software Module fault due to system latency,
17702,BY,20,Software Module fault due to system latency,
17691,BY,20,Software Module fault due to system latency,
17688,BY,20,Software Module fault due to system latency,
17705,BY,20,Perception Discrepancy: Incorrect assessment of actor size,
17699,BY,20,Software Module fault due to system latency,
19055,CI,20,The planner was not able to generate a valid trajectory. The system asked the operator to take control of the vehicle. ,
19304,CI,20,The system disengaged because of an error with the maps component. The system asked the operator to take control of the vehicle.,
18549,CI,20,The operator disengaged the system manually to remain in the operational design domain. This was accomplished by pressing the brake pedal to reduce the velocity of the vehicle.,
18698,CI,20,The planner was not able to generate a valid trajectory. The system asked the operator to take control of the vehicle. ,
18650,CI,20,The operator disengaged the system manually to remain in the operational design domain. The driver performed a steering manouver to correct the trajectory of the vehicle.,
18691,CI,20,The planner was not able to generate a valid trajectory. The system asked the operator to take control of the vehicle. ,
19209,CI,20,The planner was not able to generate a valid trajectory. The system asked the operator to take control of the vehicle. ,
19192,CI,20,The system disengaged because of an error with the fusion component. The system asked the operator to take control of the vehicle.,
18607,CI,20,The planner was not able to generate a valid trajectory. The system asked the operator to take control of the vehicle. ,
18355,CI,19,The operator disengaged the system manually to remain in the operational design domain. This was accomplished by pressing the brake pedal to reduce the velocity of the vehicle.,
18750,CI,20,The operator disengaged the system manually to remain in the operational design domain. This was accomplished by pressing the brake pedal to reduce the velocity of the vehicle.,
18305,CI,19,The operator disengaged the system manually to remain in the operational design domain. This was accomplished by pressing the brake pedal to reduce the velocity of the vehicle.,
18857,CI,20,The operator disengaged the system manually to remain in the operational design domain. This was accomplished by pressing the brake pedal to reduce the velocity of the vehicle.,
19103,CI,20,The operator disengaged the system manually to remain in the operational design domain. This was accomplished by pressing the brake pedal to reduce the velocity of the vehicle.,
19023,CI,20,The operator disengaged the system manually to remain in the operational design domain. The driver performed a steering manouver to correct the trajectory of the vehicle.,
18997,CI,20,The operator disengaged the system manually to remain in the operational design domain. This was accomplished by pressing the brake pedal to reduce the velocity of the vehicle.,
18314,CI,19,The planner was not able to generate a valid trajectory. The system asked the operator to take control of the vehicle. ,
18478,CI,20,The operator disengaged the system manually to remain in the operational design domain. The driver performed a steering manouver to correct the trajectory of the vehicle.,
19120,CI,20,The planner was not able to generate a valid trajectory. The system asked the operator to take control of the vehicle. ,
18635,CI,20,The planner was not able to generate a valid trajectory. The system asked the operator to take control of the vehicle. ,
26385,DD,19,"Invalid decision making result: Stopped behind of double parked car, but should have passed.
Weather: Sunny.  Road Condition: Dry.",
26373,DD,19,"HW error: A sensor was turned off because of low voltage.
Weather: Sunny.  Road Condition: Dry.",
26361,DD,19,"Invalid perception result: Pedestrian cross street unexpectedly, driver intervened.  
Weather: Sunny.  Road Condition: Dry.",
26374,DD,19,"HW error: A sensor was turned off because of low voltage.
Weather: Sunny.  Road Condition : Dry.",
26377,DD,19,"Invalid prediction result: Target vehicle driver made left turn where it is prohibited.
Weather: Sunny.  Road Condition: Dry.",
26357,DD,19,"Failed lane change maneuver : Vehicle could not move to target lane properly. 
Weather:  Sunny.  Road Condition: Dry.",
26383,DD,19,"Invalid decision making result: At all-way stop sign, AV kept waiting at intersection even though it had right of way.
Weather: Cloudy.  Road Condition: Dry.",
26390,DD,19,"Invalid perception result: AV stopped since invalid size of object was detected.
Weather: Sunny.  Road Condition: Dry.",
26362,DD,19,"Invalid traffic light result: Could not detect green left arrow.
Weather: Sunny.  Road Condition : Dry.",
26396,DD,19,"Invalid object detection result: Classified a person as a car.
Weather: Sunny.  Road Condition: Dry.",
26370,DD,19,"Invalid decision making result: Stopped behind of double parked car, but need to pass.
Weather: Cloudy.  Road Condition: Dry.",
26371,DD,19,"Invalid decision making result: Stopped behind of double parked car, but need to pass.
Weather: Cloudy.  Road Condition: Dry.",
26372,DD,19," Invalid traffic light result: Could not detect green left arrow.
Weather: Sunny.  Road Condition: Dry.",
26389,DD,19,"Invalid prediction result: Target vehicle driver made left turn where it is prohibited.
Weather: Sunny.  Road Condition: Dry.",
26365,DD,19,"Vehicle control problem: Vehicle could not stop at stop line completely.
Weather: Sunny.  Road Condition: Dry.",
26388,DD,19,"Invalid decision making result: At all-way stop sign, AV kept waiting at intersection even though it had right of way.
Weather: Sunny.  Road Condition: Dry.",
26378,DD,19,"HW error: Vehicle CAN had unknown issue that required vehicle restart.
Weather: Sunny.  Road Condition: Dry.",
26369,DD,19,"Invalid object detection result: Classified a person as a car.
Weather: Cloudy.  Road Condition: Dry.",
26382,DD,19,"Invalid decision making result: At all-way stop sign, AV kept waiting at intersection even though it had right of way.
Weather: Sunny.  Road Condition: Dry.",
26364,DD,19,"Invalid traffic light result: Could not detect green left arrow.
Weather: Sunny.  Road Condition: Dry.",
15110,BN,21,Ego drifting towards curb due to degrading localization,
6522,AR,23,"While traveling on a narrow road, an incoming vehicle approached from the front traveling towards the AV. Since this is a safety critical situation, the operatpr took over.",
6523,AR,23,"The lead vehicle stopped for stop sign was falsely identified as a ""side-parked"" vehicle while AV approached from behind resulting in AV attempting to bypass the lead vehicle. The operator intervened and look over in order to prevent the  bypass.",
14776,AR,22,"Discrepancy in planning. While AV merged into highway, a car aggressively cut in crossing solid white line",
14777,AR,22,"Discrepancy in planning. When AV almost finished the right turn, a vehicle from the rear side still ran fast towards AV",
14778,AR,22,"Discrepancy in planning. While throughlanes were fully blocked by traffic jam, AV was trying to diverge to the right lane but too close to other vehicles",
17656,AR,20,Discrepancy in planning around vehicle making aggressive cut through in front of ego car,
17657,AR,21,Discrepancy in planning around vehicle merging close to ego car on highway merge,
17658,AR,21,Discrepancy in planning around vehicle merging from pulled over position in highway shoulder close to ego car,
4274,AH,23,Disengagement for a missed detection by a component of perception system of the lead vehicle (trailer truck).,
14275,AA,22,"Planning; as a precaution, the safety operator intervened to avoid a vehicle that did not follow the appropriate traffic procedure and made a left turn into Autonomous Driving Vehicle's traveling lane from a median crossover while Autonomous Driving Vehicle was going straight.",
14280,AA,22,"Perception; as a precaution, the safety operator intervened due to perception deficiency where the system failed to detect an object correctly.",
14291,AA,22,"While Pony.ai's Autonomous Driving Vehicle stopped on the side of the road, a passenger vehicle reversed out of a parking spot into a Pony.ai autonomous testing vehicle’s rear bumper.",
19595,AA,20,"Planning, driver precautionarily intervened for a reckless left vehicle makes a right turn from a go straight lane",
16533,AA,21,"Planning; as a precaution, the safety operator intervened to avoid being rear-ended by a vehicle after the ADV made a lane change.",
16541,AA,21,"Planning; as a precaution, the safety operator intervened to avoid being rear-ended by a vehicle after the ADV made a lane change.",
16536,AA,21,"Planning; as a precaution, the safety operator intervened to avoid the ADV merging into an area of heavy traffic.",
19612,AA,20,"Perception, driver took over to avoid hitting a gate which is accidently closed by a community safety guard",
16529,AA,21,"Planning; as a precaution, the safety operator intervened to create space between the ADV and a truck making a narrow left turn from the far right lane of traffic.",
14273,AA,22,"Planning; as a precaution, the safety operator intervened to avoid the risk of the Autonomous Driving Vehicle colliding with a truck making a wide right turn across multiple lanes.",
19599,AA,20,"Mapping, driver precautionarily intervened before vehicle runs to curb",
16540,AA,21,"Planning; as a precaution, the safety operator intervened to avoid a vehicle that, without warning, cut into the ADV's traveling lane.",
19607,AA,20,"Planning, driver precautionarily intervened for insufficient yielding to a vehicle going straight",
19602,AA,20,"Planning, driver precautionarily intervened for a cyclist proceeding to us in high speed",
14272,AA,21,"Planning; as a precaution, the safety operator intervened to avoid the risk of being rear-ended by a vehicle after the Autonomous Driving Vehicle nudged around garbage on the road.",
26407,AA,19,"Control, driver precautionarily intervened for poor vehicle braking control",
26423,AA,19,"Planning, driver precautionarily intervened for insufficient nudging to neighboring vehicle making a left turn",
16539,AA,21,"Perception; as a precaution, the safety operator intervened to prevent the ADV from running red light due to a missed detection of the traffic light.",
26416,AA,19,Driver precautionarily intervened for an oncoming reckless vehicle making left turn,
16535,AA,21,"Planning; as a precaution, the safety operator intervened to make space between the ADV, which was going to make a left turn, and a vehicle traveling straight through the intersection at high-speed.",
716,AD,23,Manual disengagement after a scooter made contact with the AV.,
717,AD,23,"Manual disengagement as the AV had hardware irregularity. The HMI (human machine interface) of the AV system demonstrated abnormal behavior, causing the safety operator manually disengaged the AV.",
718,AD,23,"The AV system exited autonomous mode due to hardware irregularity. While the car crossed a bumpy intersection, the AV system detected abnormal car status data, causing it to exit autonomous mode.",
21408,CT,19,"The vehicle was off from the route due to a malfunction of its localization system; No unusual conditions (e.g., weather, road surface or traffic conditions, construction, emergencies, accidents or collisions) were observed.",
21409,CT,19,"The vehicle was off from the route due to a malfunction of its localization system; No unusual conditions (e.g., weather, road surface or traffic conditions, construction, emergencies, accidents or collisions) were observed.",
21410,CT,19,"The vehicle was off from the route due to a malfunction of its localization system; No unusual conditions (e.g., weather, road surface or traffic conditions, construction, emergencies, accidents or collisions) were observed.",
21411,CT,19,"The vehicle was off from the route due to a malfunction of its localization system; No unusual conditions (e.g., weather, road surface or traffic conditions, construction, emergencies, accidents or collisions) were observed.",
21412,CT,19,"The vehicle was off from the route due to a malfunction of its pose estimation system; No unusual conditions (e.g., weather, road surface or traffic conditions, construction, emergencies, accidents or collisions) were observed.",
21413,CT,19,"The vehicle was off from the route due to a malfunction of its pose estimation system; No unusual conditions (e.g., weather, road surface or traffic conditions, construction, emergencies, accidents or collisions) were observed.",
21414,CT,19,"The vehicle was off from the route due to a malfunction of its pose estimation system; No unusual conditions (e.g., weather, road surface or traffic conditions, construction, emergencies, accidents or collisions) were observed.",
21415,CT,19,"The vehicle wasn’t driving at a desired speed due to a malfunction of its motion planning system; No unusual conditions (e.g., weather, road surface or traffic conditions, construction, emergencies, accidents or collisions) were observed.",
21416,CT,19,"The vehicle wasn’t driving at a desired speed due to a malfunction of its motion planning system; No unusual conditions (e.g., weather, road surface or traffic conditions, construction, emergencies, accidents or collisions) were observed.",
21417,CT,19,"The vehicle was off from the route due to a malfunction of its pose estimation system; No unusual conditions (e.g., weather, road surface or traffic conditions, construction, emergencies, accidents or collisions) were observed.",
6028,AM,23,"The AV was initiating a lane change, another vehicle was already on the other lane. As a result, the driver safely disengaged and resumed manual control.",
6029,AM,23,"The AV didn't yield to vehicle turning left while AV was turning right. As a result, Driver safely disengaged and resumed manual control.",
6030,AM,23,"The AV stopped for a construction zone due to lane blockage. As a result, Driver safely disengaged and resumed manual control.",
6031,AM,23,"The AV was initiating a lane change, another vehicle was already on the other lane. As a result, the driver safely disengaged and resumed manual control.",
6032,AM,23,"The Safety driver noticed incorrect map drive lines, causing the AV to drive too close to the curb. As a result, Driver safely disengaged and resumed manual control.",
6033,AM,23,"The Safety driver noticed incorrect map drive lines, causing the AV to drive too close to the curb. As a result, Driver safely disengaged and resumed manual control.",
6034,AM,23,"The Safety driver noticed incorrect map drive lines, causing the AV to drive too close to the curb. As a result, Driver safely disengaged and resumed manual control.",
6035,AM,23,"The Safety driver noticed incorrect map drive lines, causing the AV to drive too close to the edge of the lane marking. As a result, Driver safely disengaged and resumed manual control.",
6036,AM,23,"The Safety driver noticed incorrect map drive lines, causing the AV to drive too close to the edge of the lane marking. As a result, Driver safely disengaged and resumed manual control.",
6037,AM,23,"The Safety driver noticed incorrect map drive lines, causing the AV to drive too close to the the inner radius of a right hand turn. As a result, Driver safely disengaged and resumed manual control.",
6038,AM,23,"The Safety driver noticed incorrect map drive lines, causing the AV to drive too close to the edge of the lane marking. As a result, Driver safely disengaged and resumed manual control.",
6039,AM,23,"The Safety driver noticed incorrect map drive lines, causing the AV to drive too close to the the inner radius of a right hand turn. As a result, Driver safely disengaged and resumed manual control.",
6040,AM,23,"The Safety driver noticed incorrect map drive lines, causing the AV to drive too close to the the inner radius of a right hand turn. As a result, Driver safely disengaged and resumed manual control.",
6041,AM,23,"The AV wasn't yielding enough to a vehicle merging and allowing enough gap for a confortable merge. As a result, Driver safely disengaged and resumed manual control.",
6042,AM,23,"The AV wasn't yielding enough to a vehicle merging and allowing enough gap for a confortable merge. As a result, Driver safely disengaged and resumed manual control.",
6043,AM,23,"The AV wasn't yielding enough to a vehicle merging and allowing enough gap for a confortable merge. As a result, Driver safely disengaged and resumed manual control.",
6044,AM,23,"The AV wasn't yielding enough to a vehicle merging and allowing enough gap for a confortable merge. As a result, Driver safely disengaged and resumed manual control.",
13247,AW,22,"Disengagement for prediction discrepency which affected the planning and decision, and resulted in the vehicle to make unwanted maneuver.",
15784,AW,21,Disengagement for a perception discrepancy which impacted the vehicle to react and make unwanted maneuver in traffic.,
21418,CU,20,"While the testing car was waiting for green light at an intersection,  a long truck blocked both traffic lights at the same time when passing through. The testing car failed to detect any red light and launched forward.The driver took over.",
21419,CU,20,The testing car did not yield to the oncoming car while executing a right turn without traffic light. The driver took over.,
21420,CU,20,"In a congested area,  the testing car was too close to the front car while proceeding lane change to the left. 
Driver took over for precaution. ",
6055,AN,23,Planning Logic: Planner trajectory inadequately yields for vehicle reversing from driveway,
6052,AN,23,Object Perception: Incorrect perception of bus leads to nudging into adjacent lane with tailgating agent,
6068,AN,23,Planning Logic: Incorrect planner trajectory fails to adequately yield to lead vehicle,
6072,AN,23,Planning Logic: Incorrect planner trajectory fails to adequately slow for lead vehicle,
6078,AN,23,Planning Logic: Planner trajectory inadequately yields for oncoming vehicle,
6070,AN,23,Planning Logic: Incorrect planner trajectory fails to adequately slow for lead vehicle,
6086,AN,23,Object Perception: Late perception of oncoming turning agent cuts off Nuro vehicle leading to inadequate yield,
6077,AN,23,Object Perception: Incorrect perception of traffic light leads to inadequate yield to cross traffic,
6074,AN,23,Planning Logic: Incorrect planner trajectory fails to adequately yield to adjacent vehicle while merging due to construction,
6090,AN,23,Planning Logic: Planner trajectory inadequately yields for oncoming vehicle,
6056,AN,23,Object Perception: Incorrect perception of false object in road leads to unwanted braking with tailgating agent,
6057,AN,23,Planning Logic: Incorrect planner trajectory fails to adequately yield to lead vehicle,
6051,AN,23,Planning Logic: Incorrect planner trajectory fails to adequate yield to lead vehicle,
6067,AN,23,Planning Logic: Incorrect behavior leads to unwanted braking with tailgating agent,
6060,AN,23,Planning Logic: Incorrect prediction leads to unwanted braking with tailgating agent,
6080,AN,23,Planning Logic: Planner trajectory inadequately yields for cross traffic,
6089,AN,23,Localization: Poor localization led to driving onto curb,
6062,AN,23,Planning Logic: Incorrect planner trajectory fails to adequately yield to lead vehicle,
6049,AN,23,Planning Logic: Incorrect behavior leads to unwanted braking with tailgating agent,
6091,AN,23,Object Perception: Incorrect perception of traffic light leads to inadequate yield to cross traffic,
30278,CR,19,Discrepancy in Planning,
30252,CR,19,Discrepancy in Planning,
30261,CR,19,Discrepancy in Planning,
30243,CR,18,Discrepancy in Planning around heavy traffic conditions,
21341,CR,20,Discrepancy in perception around heavy traffic.,
30268,CR,19,Discrepancy in Perception,
30259,CR,19,Discrepancy in Planning,
30242,CR,18,Irregularity in the System ,
30247,CR,19,Discrepancy in Planning with light rain present and heavy traffic,
30254,CR,19,Discrepancy in Planning,
30248,CR,19,Discrepancy in Planning with light rain present and heavy traffic,
30272,CR,19,Discrepancy in Planning,
30271,CR,19,Discrepancy in Planning,
30244,CR,18,Discrepancy in Planning,
30270,CR,19,Discrepancy in Planning,
30262,CR,19,Irregularity in Hardware,
30253,CR,19,Discrepancy in Planning,
21342,CR,20,Discrepancy in planning around heavy traffic.,
30273,CR,19,Discrepancy in Planning,
30245,CR,19,Discrepancy in Perception with small debris in the road,
21671,CX,18,Perception discrepancy,
21672,CX,19,Perception discrepancy,
21673,CX,19,Hardware Irregularity,
21674,CX,19,Planning discrepancy,
21675,CX,19,Hardware Irregularity,
21676,CX,19,Hardware Irregularity,
30743,DM,19,Steering oscillations detected due to sensitive lateral controller calibration.  Safety Driver took over to drive manually.,
30744,DM,19,Steering oscillations detected due to sensitive lateral controller calibration.  Safety Driver took over to drive manually.,
30745,DM,19,Steering oscillations detected due to sensitive lateral controller calibration.  Safety Driver took over to drive manually.,
30746,DM,19,Safety Driver intervened for the convenience of a faster trailing vehicle behind the ego.  No fault in the AV system.,
30747,DM,19,Safety Driver intervened to avoid a squirrel running across the road.,
30748,DM,19,Safety Driver intervened for the convenience of a faster trailing vehicle behind the ego.  No fault in the AV system.,
30546,DK,19,Disengagement due to missed detection of lead vehicle.,
30547,DK,19,Disengagement due to inadequate yield while attempting to make a run turn.,
30548,DK,19,Disengagement due to missed detection of pedestrian running across crosswalk.,
30549,DK,19,Disengagement due to undesired vehicle maneuver (inadequate yield to pedestrians in crosswalk).,
30550,DK,19,Disengagement due to undesired vehicle maneuver (inadequate yield to roller skating pedestrian).,
30551,DK,19,Disengagement due to perception discrepancy on pedestrian crossing with an umbrella.,
30552,DK,19,Disengagement due to undesired vehicle maneuver (inadequate yield to oncoming traffic while making a right turn).,
30553,DK,19,Disengagement due to undesired vehicle maneuver (inadequate yield to pedestrian in crosswalk).,
21379,AT,20,Planning discrepancy; system planned incorrect trajectory due to vehicle exiting parked state,
21398,AT,20,Prediction discrepancy; incorrect trajectory estimation of approaching vehicle,
21371,AT,20,Planning discrepancy; system planned incorrect trajectory of proceeding vehicle,
30281,AT,19,Prediction discrepancy; incorrect trajectory estimation of a vehicle turning left into intersection,
6567,AT,23,Prediction discrepancy. Adjacent vehicle made illegal maneuver from left turn only lane.,
30319,AT,19,Prediction discrepancy; incorrect trajectory estimation for a vehicle cutting into lane of traffic,
21393,AT,20,Planning discrepancy; system planned incorrect trajectory around delivery vehicle,
30307,AT,19,Prediction discrepancy; incorrect trajectory estimation of a vehicle attempting to make a left turn across an intersection from the far right lane,
21396,AT,20,Prediction discrepancy; incorrect trajectory estimation of adjacent vehicle making left turn in an intersection,
21404,AT,20,"Planning discrepancy; during double parked vehicle avoidance maneuver, system planned incorrect trajectory",
21392,AT,20,Planning discrepancy; system planned incorrect trajectory around parked vehicle,
30280,AT,18,Prediction discrepancy; incorrect trajectory estimation of a vehicle reversing from curb,
